id,related_scenes,question,answer,related_context,question_type,question_source
1,17、EXT/INT.日/夜.一组蒙太奇 - 17-9、EXT.日.利伯维尔 UEG 基地 电磁枪训练场,教官甲对学员的命令是什么？,启动电磁枪，锁定目标，命中率低于百分之七十立马给我滚蛋！,教官甲（OS）：启动电磁枪，锁定目标，命中率低于百分之七十立马给我滚蛋！,Character Understanding,broad_coverage_scene
2,6、EXT/INT.日.利伯维尔 战区废墟 返航途中/J20C 驾驶舱,张鹏表达了什么观点？,能活着就挺美好的了，这傻孩子，扛住。,张鹏：能活着就挺美好的了，这傻孩子，我跟你说啊，扛住。,Character Understanding,broad_coverage_scene
3,12、EXT/INT.日.利伯维尔 机场至UEG 基地沿途/小巴车,"在[12、EXT/INT.日.利伯维尔 机场至UEG 基地沿途/小巴车]中, 刘培强的情绪状态如何？",难掩兴奋,刘培强则难掩兴奋，四处张望,Character Understanding,broad_coverage_scene
4,8、EXT/INT.日/夜.一组蒙太奇 - 8-6、动画演绎。,"在[8、EXT/INT.日/夜.一组蒙太奇 - 8-6、动画演绎。]中, ‘移山’计划中建造了什么设备？",万台行星发动机,规划建造万台行星发动机驱使地球离开太阳系,Scene Grounding,broad_coverage_scene
5,36、INT.日.利伯维尔 UEG 基地 太空电梯 02 轿厢,反派扫描名牌后发生了什么？,韩朵朵的脸被替换为假脸,反派三人站在舱门边，用仪器扫描韩朵朵的名牌，读取信息后，韩朵朵的脸被替换成了假韩朵朵的脸，其余二人的名牌也被同样操作,Temporal Reasoning,broad_coverage_scene
6,30、EXT/INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢,在[30、EXT/INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢]中，假山姆为何导致乘客被锁死？,黑入太空电梯座椅控制系统并按下锁死键,假山姆黑入太空电梯座椅控制系统，按下所有安全座椅锁死键，所有乘客均被锁死在座位上,Causal-Motivational Reasoning,broad_coverage_scene
7,32、INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢,在[32、INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢]中，假韩朵朵和假赫伯特破坏紧急按钮导致什么结果？,驾驶区的门被锁死，紧急逃生系统被动启动。,假赫伯特一把捶烂驾驶区门的紧急按钮（屏幕显示：紧急逃生，坐席解锁）。驾驶区的门被锁死，紧急逃生系统被动启动，驾驶区的安全杆自动打开。,Causal-Motivational Reasoning,broad_coverage_scene
8,40、EXT/INT.日.利伯维尔 UEG 基地 太空电梯 附近空域/J20C 驾驶舱/俄 式战斗机驾驶舱/美式战斗机驾驶舱/韩式战斗机驾驶舱,张鹏如何描述无法锁定目标的原因？,全他妈是友军。,张鹏：发射一！无法锁定！全他妈是友军。,Character Understanding,broad_coverage_scene
9,24、EXT.日.利伯维尔 UEG 基地 无人机仓库外,无人机维护兵甲报告了什么情况？,无人机全部失控，系统被入侵,无人机维护兵甲（英语）：无人机全部失控！我们的系统被入侵了！,Character Understanding,broad_coverage_scene
10,32、INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢,假韩朵朵为什么踢赫伯特？,因为他主动奉上名牌，而她不喜欢主动的。,赫伯特（南非本部语）：主动就不会被开除了吧。假韩朵朵（英语）：我不喜欢主动的。,Causal-Motivational Reasoning,broad_coverage_scene
