id,related_scenes,question,answer,related_context,question_type,question_source
1,23、EXT. JACKIE'S HOUSE - DAY,"In [23、EXT. JACKIE'S HOUSE - DAY], What is Luke's emotional state when he arrives at Jackie's door?",Dejected and distraught,"Luke, dejected, at Jackie's door. Rachel nearby... LUKE (distraught)",Character Understanding,broad_coverage_scene
2,35、INT. RADIOLOGY LAB - AFTERNOON,"In [35、INT. RADIOLOGY LAB - AFTERNOON], What is Jackie's emotional state as described in the passage?","Distracted and distant, with a troubled mind","Her eyes are drawn, a million miles away.",Character Understanding,broad_coverage_scene
3,69、INT. ELEMENTARY SCHOOL COMMON ROOM - NIGHT,What does 'going out' mean in the context of the sixth grade according to the passage?,A public declaration without actual dating or social interaction.,"Rachel explains that 'going out' in the sixth grade doesn't involve movies, lunch, or dating, just a declaration to the world.",Scene Grounding,broad_coverage_scene
4,"13、EXT. RESTAURANT, SOHO - NIGHT",How does Rachel react when she mentions marriage?,She uses an ominous Nazi Baritone voice.,(ominous Nazi Baritone),Scene Grounding,broad_coverage_scene
5,2、INT. BEN'S ROOM - EARLY MORNING,What does Rachel pull out of the shirt pocket?,a dirty handkerchief that's an endless magician's handkerchief,"Rachel tugs the sleeve of a shirt hanging on a chair, and out comes a magician's bouquet of FLOWERS. Rachel pulls a dirty handkerchief out of the pocket of the shirt -- it's an endless MAGICIAN'S HANDKERCHIEF.",Scene Grounding,broad_coverage_scene
6,15、INT. RACHEL'S AND LUKE'S LOFT - FRIDAY NIGHT,What does DISAPPEAR refer to in Ben's statement?,The effect of the magic potion,Those who travel far and near this will make you DISAPPEAR!,Scene Grounding,broad_coverage_scene
7,37、INT. JACKIE'S BATHROOM - NIGHT,What does Annabelle believe about why Rachel was in the shower with Daddy?,She believes it was sex.,ANNABELLE: Sex. Of course.,Character Understanding,broad_coverage_scene
8,"7、EXT. PHOTOGRAPHY STUDIO, TRIBECA - MORNING",What action does Rachel perform upon exiting the taxi?,Bolts out and sprints for the door,"Rachel BOLTS out, SPRINTING for the door",Scene Grounding,broad_coverage_scene
9,"10、EXT. SCHOOL, ENGLEWOOD, NEW JERSEY - MOMENTS LATER",What does Luke say about the counselor?,He claims the counselor is making a mountain out of a molehill.,You ask me that counselor's making a mountain out of a molehill...,Character Understanding,broad_coverage_scene
10,22、INT. SCHOOL HALLWAY,"In [22、INT. SCHOOL HALLWAY], What is Jackie's emotional state during the confrontation?",Angry and protective.,"GLARING, cheap excuses, break a child's heart, bottomless pride",Character Understanding,broad_coverage_scene
11,6、INT. JACKIE'S VOLVO STATION WAGON - EARLY MORNING,Why does Jackie mention the laundry pile?,To suggest Rachel's underpants might be there.,I noticed a whopping pile of laundry... perhaps Rachel's underpants are in there,Causal-Motivational Reasoning,broad_coverage_scene
12,25、EXT. PARK MEN'S ROOM,"In [25、EXT. PARK MEN'S ROOM], What is Annabelle's behavioral state?",Refusing to be touched,Don't touch me! You bring bad luck!,Character Understanding,broad_coverage_scene
13,20、INT. JACKIE'S KITCHEN - DAY,"In [20、INT. JACKIE'S KITCHEN - DAY], What is Ben's behavioral state when Rachel's message ends?","Poised above the buttons, ready to strike","Ben is described as looming over the hardware with fingers poised above the buttons, then striking all keys at once.",Character Understanding,broad_coverage_scene
14,20、INT. JACKIE'S KITCHEN - DAY,"In [20、INT. JACKIE'S KITCHEN - DAY], What is Rachel's emotional state when she leaves the message?",Apologetic and sarcastic,Rachel apologizes for losing her temper and makes a sarcastic comment about the step aerobics class.,Character Understanding,broad_coverage_scene
15,18、INT. JACKIE'S KITCHEN - MORNING,"In [18、INT. JACKIE'S KITCHEN - MORNING], How is Jackie's demeanor described upon entering?","Edgy, ready to snap","Jackie's edgy, ready to snap.",Character Understanding,broad_coverage_scene
16,31、EXT. NORTH VALE STABLES - DAY,What does Jackie believe about Rachel?,People like Rachel who only think about themselves often make a lot of money.,JACKIE People like Rachel who only think about themselves often do make a lot of money.,Character Understanding,broad_coverage_scene
17,1、INT. RACHEL'S BEDROOM - EARLY MORNING,What action does Rachel perform after the alarm shuts off?,SITS BOLTS UPRIGHT and LEAPS out of the room,Rachel SITS BOLTS UPRIGHT. LEAPS out of the room,Scene Grounding,broad_coverage_scene
18,1、INT. RACHEL'S BEDROOM - EARLY MORNING,How is Rachel dressed when she runs down the hall?,Dressed only in men's boxers with a robe flung on,dressed only in a pair of men's boxers... FLINGS her robe on,Scene Grounding,broad_coverage_scene
19,"13、EXT. RESTAURANT, SOHO - NIGHT",What does Luke do when Rachel questions if she ever sees him alone?,"He draws a breath, with concern behind his eyes.",He draws a breath. The concern is behind his eyes.,Scene Grounding,broad_coverage_scene
20,60、EXT. STACY'S YARD - LATER,What does Rachel claim about Jackie Harrison's employment status?,Rachel says Jackie is returning part-time to the company.,"RACHEL: Actually, she's going back to work with your company on a part-time basis.",Character Understanding,broad_coverage_scene
21,29、INT. AUDITORIUM - THAT EVENING,Why did Annabelle become terrified during her performance?,Rachel's camera flashes disrupted her concentration.,"Rachel POPS UP next to the stage with her huge PROFESSIONAL CAMERA and giant flash. Her camera FLASHES three times, quickly. After each flash, we see the picture for a split second, Annabelle. A TERRIFIED ear of corn.",Causal-Motivational Reasoning,broad_coverage_scene
22,18、INT. JACKIE'S KITCHEN - MORNING,"In [18、INT. JACKIE'S KITCHEN - MORNING], What is Ben's emotional state when he enters?",Ebullient,Ben is ebullient.,Character Understanding,broad_coverage_scene
23,28、INT. POLICE STATION - DAY,"In [28、INT. POLICE STATION - DAY], What is Jackie's emotional state when she sees Ben?",Shaking with relief,"holds him to her chest, shaking",Character Understanding,broad_coverage_scene
24,16、INT. BEN'S ROOM - RACHEL'S AND LUKE'S HOUSE - NIGHT,"In [16、INT. BEN'S ROOM - RACHEL'S AND LUKE'S HOUSE - NIGHT], Where does Rachel read 'Goodnight Moon' to Ben?",The great green room,In the great green room there was a telephone and a red balloon...,Scene Grounding,broad_coverage_scene
